Region,Country Code,Country Name,Agricultural land (% of land area),Agricultural land (sq. km),Armed forces personnel (% of total labor force),"Armed forces personnel, total",Average precipitation in depth (mm per year),"Birth rate, crude (per 1,000 people)","Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Current health expenditure per capita, PPP (current international $)",Forest area (% of land area),Forest area (sq. km),GDP (current US$),GDP per capita (current US$),"GDP per capita, PPP (current international $)","International tourism, receipts (% of total exports)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Mobile cellular subscriptions (per 100 people),Number of deaths ages 20-24 years,Population in largest city,Population in the largest city (% of urban population),"Population, total"
Sub-Saharan Africa,MRT,Mauritania,38,"396,610",2,"21,000",92,34,,3,54,174,0,"3,292","6,800,141,922","1,635","5,259",1,65,53,98,565,"1,154,050",53,"4,160,015"
Sub-Saharan Africa,MUS,Mauritius,42,860,0,"3,000","2,041",11,,6,595,"1,215",19,387,"13,713,509,312","10,844","22,149",37,75,,142,94,,,"1,264,613"
Sub-Saharan Africa,MWI,Malawi,60,"56,500",0,"15,000","1,181",34,,8,38,110,25,"23,677","8,943,543,677",500,"1,455",3,63,,43,"4,100","986,455",33,"17,881,167"
Sub-Saharan Africa,NAM,Namibia,47,"388,100",2,"16,000",285,30,,9,476,902,8,"68,519","12,895,153,157","5,454","10,335",10,62,,113,726,"391,736",34,"2,364,534"
Sub-Saharan Africa,NER,Niger,37,"465,970",0,"10,000",151,46,98,6,29,64,1,"11,170","11,185,102,400",515,"1,156",6,62,,40,"6,423","1,177,828",33,"21,737,922"
Sub-Saharan Africa,NGA,Nigeria,76,"689,602",0,"215,000","1,150",39,,4,73,192,24,"221,169","375,745,732,275","1,942","5,120",5,52,,75,"37,052","13,042,316",14,"193,495,907"
Sub-Saharan Africa,RWA,Rwanda,73,"18,117",1,"35,000","1,212",31,,6,48,124,11,"2,730","9,252,834,120",757,"1,935",26,66,,72,"1,671","1,021,081",49,"12,230,339"
Sub-Saharan Africa,SDN,Sudan,37,"691,009",1,"124,000",250,36,,6,71,279,10,"188,760","129,717,804,935","3,189","4,614",17,65,,70,"12,575","5,395,378",39,"40,679,828"
Sub-Saharan Africa,SEN,Senegal,46,"88,780",0,"19,000",686,34,,4,58,136,43,"81,882","20,996,564,752","1,385","3,259",10,68,52,104,"1,587","2,903,112",41,"15,157,793"
Sub-Saharan Africa,SLE,Sierra Leone,55,"39,490",0,"9,000","2,526",34,,9,46,150,36,"25,941","3,719,369,107",484,"1,593",5,59,,86,"2,857","1,104,136",35,"7,677,565"
